icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT,accX_,accY_,accZ_,gyrX_,gyrY_,gyrZ_,magX_,magY_,magZ_,roll,pitch,yaw,roll_,pitch_,yaw_
163150.000000,-0.054687,-0.623535,-0.930664,16315.000000,120.235443,-49.011230,-13.183594,16315.000000,43.231400,22.666077,14.608261,16315.000000,-0.082441,-0.526299,-0.846294,-59.410648,21.691753,8.640493,0.855285,0.401324,0.327761,22.279305,50.117790,-0.753634,22.279305,50.117790,-0.753634
163160.000000,-0.032715,-0.659180,-0.892090,16316.000000,117.427826,-50.109863,-17.272949,16316.000000,42.781403,22.666077,14.608261,16316.000000,-0.083873,-0.542230,-0.836033,-60.295567,19.890194,4.149519,0.855460,0.410415,0.315828,21.827135,49.105312,-1.035557,21.827135,49.105312,-1.035557
163170.000000,-0.052734,-0.695312,-0.833008,16317.000000,117.305756,-47.180176,-21.179199,16317.000000,43.686783,21.616074,11.008270,16317.000000,-0.083566,-0.555903,-0.827036,-58.308559,22.019913,0.199855,0.855418,0.418908,0.304592,21.427170,48.095459,-1.276072,21.427170,48.095459,-1.276072
163180.000000,-0.050293,-0.770508,-0.800293,16318.000000,117.061615,-43.945312,-24.841309,16318.000000,43.686783,23.271439,10.560699,16318.000000,-0.082090,-0.568949,-0.818265,-56.386925,24.177261,-3.181217,0.856189,0.426366,0.291809,21.077868,47.090118,-1.472652,21.077868,47.090118,-1.472652
163190.000000,-0.045898,-0.848633,-0.772461,16319.000000,118.831635,-42.358398,-29.052734,16319.000000,45.036774,23.271439,10.560699,16319.000000,-0.079820,-0.582837,-0.808659,-52.488976,24.483486,-6.788239,0.857687,0.433146,0.277050,20.785063,46.068127,-1.641090,20.785063,46.068127,-1.641090
163200.000000,-0.077637,-0.916992,-0.749512,16320.000000,122.859955,-38.635254,-28.503418,16320.000000,44.136780,23.421448,8.610703,16320.000000,-0.077097,-0.598596,-0.797332,-46.563938,26.714556,-5.509071,0.859568,0.439310,0.261056,20.501913,45.004791,-1.760923,20.501913,45.004791,-1.760923
163210.000000,-0.134766,-0.973144,-0.654785,16321.000000,122.188568,-41.442871,-24.536133,16321.000000,44.436783,23.721451,8.310699,16321.000000,-0.074883,-0.616863,-0.783500,-45.462189,22.408026,-1.048411,0.861694,0.444917,0.243994,20.193901,43.942966,-1.896509,20.193901,43.942966,-1.896509
163220.000000,-0.219727,-0.926758,-0.635742,16322.000000,115.474701,-43.945312,-18.554688,16322.000000,44.436783,24.771439,7.260712,16322.000000,-0.074745,-0.637525,-0.766795,-50.062222,18.674894,4.963578,0.863682,0.450421,0.226217,19.838120,42.937641,-2.042914,19.838120,42.937641,-2.042914
163230.000000,-0.242187,-0.843262,-0.682617,16323.000000,105.464935,-44.799805,-14.282227,16323.000000,43.686783,24.771439,7.260712,16323.000000,-0.077958,-0.658856,-0.748218,-57.234634,16.764935,8.810930,0.865081,0.456274,0.208442,19.446362,42.018009,-2.181922,19.446362,42.018009,-2.181922
163240.000000,-0.200195,-0.782715,-0.732422,16324.000000,89.900970,-42.663574,-10.681152,16324.000000,45.037750,24.771439,6.660706,16324.000000,-0.084395,-0.678364,-0.729863,-61.479160,17.814774,11.655659,0.865841,0.462241,0.191448,19.020277,41.162544,-2.284172,19.020277,41.162544,-2.284172
163250.000000,-0.190430,-0.697754,-0.738281,16325.000000,86.483002,-39.428711,-9.826660,16325.000000,43.087753,25.372421,5.761200,16325.000000,-0.092795,-0.694292,-0.713686,-68.341537,19.758923,11.587248,0.866114,0.468021,0.175505,18.583920,40.407543,-2.339661,18.583920,40.407543,-2.339661
163260.000000,-0.170410,-0.717285,-0.703125,16326.000000,87.642670,-33.569336,-13.793945,16326.000000,43.992142,24.472427,2.311188,16326.000000,-0.101876,-0.706292,-0.700552,-62.568882,23.973566,6.868630,0.866133,0.473729,0.159357,18.183266,39.635818,-2.323496,18.183266,39.635818,-2.323496
163270.000000,-0.137207,-0.796875,-0.672363,16327.000000,91.182709,-26.306152,-19.165039,16327.000000,43.992142,25.374863,3.210220,16327.000000,-0.110595,-0.715528,-0.689775,-54.773682,29.082077,1.182450,0.866291,0.479023,0.141690,17.831692,38.828514,-2.222396,17.831692,38.828514,-2.222396
163280.000000,-0.115723,-0.906738,-0.631836,16328.000000,97.408295,-20.263672,-25.817871,16328.000000,44.292145,25.374863,3.210220,16328.000000,-0.117978,-0.723939,-0.679701,-44.865440,32.478691,-5.250773,0.866454,0.483690,0.123698,17.542953,37.961239,-2.050725,17.542953,37.961239,-2.050725
163290.000000,-0.096191,-1.037597,-0.575195,16329.000000,104.061127,-17.089844,-30.578613,16329.000000,43.092148,26.424866,1.410217,16329.000000,-0.123279,-0.733532,-0.668381,-35.221424,32.719791,-9.307310,0.866179,0.488241,0.106558,17.300962,37.028999,-1.839326,17.300962,37.028999,-1.839326
163300.000000,-0.090332,-1.112304,-0.510254,16330.000000,110.164642,-16.967773,-30.944824,16330.000000,43.092148,24.024857,1.710220,16330.000000,-0.126155,-0.745877,-0.654028,-26.789736,29.897612,-8.780214,0.865548,0.492651,0.090122,17.066204,36.033730,-1.620229,17.066204,36.033730,-1.620229
163310.000000,-0.124512,-1.142090,-0.458008,16331.000000,112.545013,-20.080566,-27.832031,16331.000000,44.292145,24.024857,1.710220,16331.000000,-0.126976,-0.761467,-0.635645,-22.535059,24.108126,-4.936938,0.865364,0.495498,0.075011,16.808292,35.007191,-1.428856,16.808292,35.007191,-1.428856
163320.000000,-0.169434,-1.101074,-0.408691,16332.000000,108.028412,-22.399902,-20.202637,16332.000000,44.142151,26.874863,1.860214,16332.000000,-0.126944,-0.779580,-0.613302,-25.154232,19.478760,2.918547,0.865612,0.496857,0.062046,16.485140,34.012218,-1.260751,16.485140,34.012218,-1.260751
163330.000000,-0.191894,-1.039062,-0.442871,16333.000000,100.643158,-20.324707,-13.244629,16333.000000,44.142151,26.574860,-1.589752,16333.000000,-0.127357,-0.798573,-0.588270,-30.199648,19.372957,9.452888,0.865352,0.498645,0.050190,16.104010,33.073215,-1.072498,16.104010,33.073215,-1.072498
163340.000000,-0.173828,-0.967285,-0.479004,16334.000000,95.455170,-18.371582,-9.033203,16334.000000,44.292145,26.574860,-1.589752,16334.000000,-0.128683,-0.816487,-0.562840,-32.600185,19.086180,12.768705,0.864483,0.501272,0.037349,15.691326,32.167892,-0.863167,15.691326,32.167892,-0.863167
163350.000000,-0.133301,-0.925781,-0.493164,16335.000000,93.624115,-15.014648,-9.277344,16335.000000,45.192154,26.874863,0.810211,16335.000000,-0.130393,-0.832001,-0.539233,-31.462379,20.094465,11.492408,0.863367,0.503980,0.024525,15.290277,31.265976,-0.619082,15.290277,31.265976,-0.619082
163360.000000,-0.112305,-0.936523,-0.469238,16336.000000,94.966888,-10.009766,-12.756348,16336.000000,45.792145,26.574860,-1.589752,16336.000000,-0.131619,-0.844930,-0.518430,-27.266521,22.517426,7.186912,0.862346,0.506134,0.013721,14.932401,30.340628,-0.327636,14.932401,30.340628,-0.327636
163370.000000,-0.095215,-0.969238,-0.443359,16337.000000,99.727631,-6.103516,-16.540527,16337.000000,45.776520,27.174866,-2.789749,16337.000000,-0.131790,-0.855886,-0.500090,-20.054943,23.598396,2.928416,0.861647,0.507494,0.003708,14.620775,29.362434,-0.002541,14.620775,29.362434,-0.002541
163380.000000,-0.085449,-1.005371,-0.414551,16338.000000,103.633881,-4.394531,-22.033691,16338.000000,43.076523,27.168030,-2.785355,16338.000000,-0.130667,-0.865642,-0.483312,-14.198100,22.396507,-2.613788,0.860831,0.508846,-0.006816,14.372613,28.343090,0.334645,14.372613,28.343090,0.334645
163390.000000,-0.102051,-1.018554,-0.386230,16339.000000,105.892181,-7.263184,-28.503418,16339.000000,44.126526,24.468033,-3.985352,16339.000000,-0.128395,-0.874738,-0.467277,-10.361914,16.833469,-8.609017,0.859878,0.510190,-0.017747,14.197488,27.300699,0.639619,14.197488,27.300699,0.639619
163400.000000,-0.139160,-1.045410,-0.346680,16340.000000,106.929779,-12.145996,-33.630371,16340.000000,44.126526,27.018021,-5.035355,16340.000000,-0.125700,-0.883474,-0.451301,-7.980395,9.753182,-12.777556,0.859272,0.510671,-0.029441,14.081162,26.247955,0.893730,14.081162,26.247955,0.893730
163410.000000,-0.169922,-1.052246,-0.341797,16341.000000,105.037689,-20.629883,-32.714844,16341.000000,42.326523,27.018021,-5.035355,16341.000000,-0.123580,-0.891936,-0.434946,-8.573580,-0.206547,-10.763491,0.858361,0.511324,-0.041998,13.962379,25.213543,1.064368,13.962379,25.213543,1.064368
163420.000000,-0.187500,-1.036133,-0.378906,16342.000000,101.314545,-28.625488,-23.193359,16342.000000,42.626526,25.518021,-4.285355,16342.000000,-0.122752,-0.899835,-0.418604,-10.835415,-8.851617,-0.648027,0.856750,0.512867,-0.054295,13.755065,24.215347,1.158639,13.755065,24.215347,1.158639
163430.000000,-0.202637,-0.976562,-0.370117,16343.000000,92.525482,-32.165527,-15.991211,16343.000000,42.626526,26.268021,-5.485352,16343.000000,-0.123547,-0.906677,-0.403327,-17.709764,-12.466256,6.391281,0.855044,0.514412,-0.065422,13.481486,23.303921,1.220941,13.481486,23.303921,1.220941
163440.000000,-0.171875,-0.908691,-0.353027,16344.000000,83.919525,-32.348633,-13.732910,16344.000000,41.726517,26.268021,-5.485352,16344.000000,-0.125848,-0.912231,-0.389867,-23.757559,-12.515404,8.078923,0.853295,0.515917,-0.075610,13.189344,22.478247,1.284465,13.189344,22.478247,1.284465
